DiffIR version=1 fingerprint=0ee902b1528f74aecab75fd2ef96fdd07749f5a4e8e8256524da33d5ca4e761f tensors=363 operations=168
tensor id=210 dtype=bf16 roles=0 shape=512x16384 bytes=16777216
tensor id=211 dtype=bf16 roles=0 shape=512x8192 bytes=8388608
tensor id=212 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=213 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=214 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=215 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=216 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=217 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=218 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=219 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=220 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=221 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=222 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=223 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=224 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=225 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=226 dtype=bf16 roles=12 shape=16384x3072 bytes=100663296
tensor id=227 dtype=bf16 roles=12 shape=3072x8192 bytes=50331648
tensor id=228 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=229 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=230 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=231 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=232 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=233 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=234 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=235 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=236 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=237 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=238 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=239 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=240 dtype=bf16 roles=0 shape=512x16384 bytes=16777216
tensor id=241 dtype=bf16 roles=0 shape=512x8192 bytes=8388608
tensor id=242 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=243 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=244 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=245 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=246 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=247 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=248 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=249 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=250 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=251 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=252 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=253 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=254 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=255 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=256 dtype=bf16 roles=12 shape=16384x3072 bytes=100663296
tensor id=257 dtype=bf16 roles=12 shape=3072x8192 bytes=50331648
tensor id=258 dtype=bf16 roles=12 shape=3072 bytes=6144
